sorting,graph,tree,partition,basic_knowledge,loop_and_branch,simulate,weakness
0.8,0.68,0.92,0.89,0.82,0.44,0.9,loop_and_branch
0.61,0.97,0.9,0.8,0.54,0.74,0.92,basic_knowledge
0.75,0.58,0.97,0.47,0.72,0.84,0.97,graph;partition
0.76,0.51,0.69,0.96,0.92,0.53,0.54,graph;loop_and_branch;simulate
0.9,0.63,0.96,0.48,0.81,0.89,0.9,partition
0.72,0.8,0.51,0.77,0.78,0.73,0.97,tree
0.65,0.84,0.5,0.45,0.63,0.43,0.72,tree;partition;loop_and_branch
0.91,0.75,0.96,0.45,0.69,0.49,0.97,partition;loop_and_branch
0.95,0.43,0.46,0.96,0.73,0.81,0.91,graph;tree
0.59,0.84,0.93,0.64,0.48,0.75,0.64,sorting;basic_knowledge
0.87,0.92,0.75,0.82,0.91,0.97,0.68,
0.86,0.44,0.69,0.82,0.96,0.81,0.96,graph
0.88,0.56,0.49,0.81,0.69,0.91,0.46,graph;tree;simulate
0.59,0.84,0.98,0.53,0.99,0.89,0.55,sorting;partition;simulate
0.61,0.71,0.51,0.68,0.79,0.59,0.88,tree;loop_and_branch
0.67,0.49,0.6,0.82,0.53,0.61,0.73,graph;basic_knowledge
0.57,0.89,0.81,0.7,0.82,0.6,0.62,sorting
0.54,0.91,0.73,0.52,0.43,0.65,0.81,sorting;partition;basic_knowledge
0.67,0.46,0.94,0.47,0.55,0.93,0.8,graph;partition;basic_knowledge
0.94,0.61,0.46,0.7,0.66,0.53,0.91,tree;loop_and_branch
0.55,0.99,0.79,0.77,0.47,0.88,0.97,sorting;basic_knowledge
0.71,0.45,0.97,0.94,0.44,0.79,0.79,graph;basic_knowledge
0.61,0.86,0.71,0.56,0.47,0.99,0.45,partition;basic_knowledge;simulate
0.57,0.94,0.94,0.71,0.66,0.99,0.75,sorting
0.52,0.47,0.87,0.56,0.68,0.94,0.83,sorting;graph;partition
0.79,0.91,0.79,0.86,0.51,0.87,0.44,basic_knowledge;simulate
0.91,0.97,0.49,0.71,0.8,0.73,0.51,tree;simulate
0.98,0.94,0.81,0.47,0.86,0.5,0.96,partition;loop_and_branch
0.95,0.85,0.97,0.59,0.6,0.89,0.7,partition
0.82,0.8,0.95,0.95,0.53,0.47,0.67,basic_knowledge;loop_and_branch
0.57,0.9,0.89,0.72,0.56,0.79,0.63,sorting;basic_knowledge
0.54,0.93,0.5,0.57,0.75,0.48,0.83,sorting;tree;partition;loop_and_branch
0.89,0.43,0.45,0.61,0.5,0.76,0.91,graph;tree;basic_knowledge
0.5,0.91,0.48,0.86,0.54,0.48,0.61,sorting;tree;basic_knowledge;loop_and_branch
0.63,0.84,0.93,0.85,0.96,0.68,0.82,
0.47,0.67,0.85,0.61,0.69,0.6,0.6,sorting
0.68,0.59,0.63,0.46,0.49,0.69,0.72,graph;partition;basic_knowledge
0.77,0.55,0.68,0.72,0.58,0.83,0.52,graph;basic_knowledge;simulate
0.88,0.95,0.67,0.64,0.75,0.44,0.71,loop_and_branch
0.83,0.53,0.8,0.61,0.86,0.76,0.5,graph;simulate
0.66,0.65,0.86,0.9,0.53,0.76,0.6,basic_knowledge
0.52,0.73,0.71,0.64,0.79,0.81,0.63,sorting
0.75,0.54,0.8,0.94,0.96,0.92,0.92,graph
0.76,0.87,0.93,0.52,0.5,0.44,0.79,partition;basic_knowledge;loop_and_branch
0.99,0.74,0.6,0.75,0.87,0.65,0.59,simulate
0.93,0.5,0.83,0.82,0.74,0.63,0.64,graph
0.79,0.56,0.85,0.75,0.56,0.48,0.98,graph;basic_knowledge;loop_and_branch
0.97,0.65,0.97,0.61,0.82,0.88,0.81,
0.68,0.73,0.9,0.98,0.51,0.52,0.96,basic_knowledge;loop_and_branch
0.68,0.6,0.67,0.89,0.68,0.53,0.49,loop_and_branch;simulate
0.92,0.71,0.73,0.48,0.44,0.72,0.74,partition;basic_knowledge
0.53,0.65,0.48,0.61,0.55,0.95,0.56,sorting;tree;basic_knowledge;simulate
0.88,0.91,0.69,0.64,0.48,0.56,0.89,basic_knowledge;loop_and_branch
0.58,0.46,0.5,0.6,0.5,0.8,0.56,sorting;graph;tree;basic_knowledge;simulate
0.65,0.53,0.5,0.72,0.5,0.75,0.93,graph;tree;basic_knowledge
0.47,0.54,0.52,0.49,0.74,0.6,0.88,sorting;graph;tree;partition
0.97,0.61,0.9,0.84,0.58,0.72,0.57,basic_knowledge;simulate
0.62,0.73,0.91,0.61,0.59,0.48,0.66,basic_knowledge;loop_and_branch
0.56,0.55,0.57,0.93,0.97,0.46,0.63,sorting;graph;tree;loop_and_branch
0.78,0.47,0.78,0.96,0.6,0.55,0.83,graph;loop_and_branch
0.98,0.75,0.43,0.66,0.78,0.96,0.76,tree
0.72,0.49,0.84,0.81,0.5,0.85,0.53,graph;basic_knowledge;simulate
0.67,0.75,0.66,0.66,0.87,0.95,0.98,
0.78,0.54,0.75,0.93,0.44,0.97,0.73,graph;basic_knowledge
0.75,0.46,0.44,0.82,0.8,0.64,0.44,graph;tree;simulate
0.55,0.93,0.54,0.63,0.9,0.57,0.45,sorting;tree;loop_and_branch;simulate
0.73,0.66,0.96,0.61,0.96,0.84,0.78,
0.45,0.74,0.54,0.97,0.43,0.79,0.8,sorting;tree;basic_knowledge
0.76,0.46,0.71,0.45,0.78,0.83,0.96,graph;partition
0.93,0.58,0.58,0.76,0.66,0.94,0.67,graph;tree
0.44,0.51,0.54,0.93,0.5,0.95,0.91,sorting;graph;tree;basic_knowledge
0.83,0.88,0.9,0.63,0.45,0.53,0.94,basic_knowledge;loop_and_branch
0.99,0.58,0.58,0.63,0.88,0.58,0.9,graph;tree;loop_and_branch
0.68,0.61,0.87,0.96,0.48,0.98,0.63,basic_knowledge
0.83,0.74,0.55,0.49,0.83,0.71,0.86,tree;partition
0.49,0.77,0.88,0.74,0.45,0.75,0.52,sorting;basic_knowledge;simulate
0.82,0.59,0.9,0.94,0.6,0.7,0.72,graph
0.62,0.61,0.97,0.88,0.61,0.49,0.54,loop_and_branch;simulate
0.46,0.9,0.65,0.69,0.53,0.71,0.95,sorting;basic_knowledge
0.67,0.96,0.85,0.96,0.94,0.94,0.56,simulate
0.57,0.76,0.83,0.93,0.94,0.72,0.89,sorting
0.9,0.85,0.65,0.46,0.5,0.87,0.46,partition;basic_knowledge;simulate
0.55,0.81,0.56,0.43,0.55,0.66,0.51,sorting;tree;partition;basic_knowledge;simulate
0.85,0.61,0.91,0.58,0.96,0.49,0.62,partition;loop_and_branch
0.91,0.63,0.78,0.87,0.71,0.98,0.69,
0.83,0.75,0.46,0.59,0.78,0.59,0.91,tree;partition;loop_and_branch
0.7,0.88,0.81,0.68,0.8,0.84,0.92,
0.64,0.51,0.44,0.58,0.81,0.59,0.53,graph;tree;partition;loop_and_branch;simulate
0.79,0.73,0.58,0.88,0.8,0.74,0.57,tree;simulate
0.95,0.54,0.95,0.55,0.5,0.73,0.9,graph;partition;basic_knowledge
0.72,0.48,0.9,0.81,0.93,0.81,0.46,graph;simulate
0.58,0.91,0.48,0.54,0.8,0.96,0.89,sorting;tree;partition
0.63,0.96,0.43,0.66,0.87,0.82,0.64,tree
0.93,0.64,0.89,0.78,0.55,0.85,0.71,basic_knowledge
0.62,0.43,0.51,0.94,0.86,0.88,0.64,graph;tree
0.72,0.97,0.83,0.85,0.79,0.65,0.52,simulate
0.53,0.84,0.62,0.75,0.5,0.93,0.9,sorting;basic_knowledge
0.97,0.75,0.45,0.81,0.87,0.92,0.92,tree
0.51,0.79,0.79,0.46,0.59,0.54,0.48,sorting;partition;basic_knowledge;loop_and_branch;simulate
0.98,0.74,0.9,0.85,0.43,0.65,0.69,basic_knowledge
0.57,0.51,0.98,0.46,0.95,0.69,0.95,sorting;graph;partition
0.86,0.96,0.87,0.73,0.53,0.75,0.81,basic_knowledge
0.69,0.57,0.86,0.83,0.92,0.75,0.46,graph;simulate
0.74,0.55,0.53,0.66,0.57,0.53,0.44,graph;tree;basic_knowledge;loop_and_branch;simulate
0.51,0.68,0.72,0.67,0.93,0.7,0.59,sorting;simulate
0.56,0.68,0.67,0.99,0.67,0.53,0.48,sorting;loop_and_branch;simulate
0.64,0.57,0.98,0.95,0.97,0.74,0.54,graph;simulate
0.91,0.9,0.82,0.97,0.92,0.47,0.8,loop_and_branch
0.61,0.75,0.45,0.89,0.85,0.46,0.59,tree;loop_and_branch;simulate
0.76,0.91,0.94,0.97,0.72,0.49,0.54,loop_and_branch;simulate
0.98,0.88,0.86,0.85,0.49,0.64,0.86,basic_knowledge
0.46,0.84,0.72,0.94,0.95,0.97,0.45,sorting;simulate
0.77,0.65,0.73,0.52,0.59,0.67,0.64,partition;basic_knowledge
0.45,0.67,0.85,0.83,0.83,0.57,0.47,sorting;loop_and_branch;simulate
0.8,0.56,0.97,0.47,0.56,0.58,0.54,graph;partition;basic_knowledge;loop_and_branch;simulate
0.44,0.86,0.73,0.59,0.49,0.58,0.89,sorting;partition;basic_knowledge;loop_and_branch
0.72,0.95,0.94,0.61,0.82,0.82,0.77,
0.92,0.54,0.57,0.77,0.52,0.51,0.93,graph;tree;basic_knowledge;loop_and_branch
0.95,0.73,0.72,0.54,0.97,0.69,0.59,partition;simulate
0.44,0.53,0.99,0.73,0.98,0.9,0.58,sorting;graph;simulate
0.76,0.8,0.85,0.66,0.56,0.45,0.9,basic_knowledge;loop_and_branch
0.59,0.85,0.73,0.66,0.55,0.74,0.65,sorting;basic_knowledge
0.95,0.47,0.88,0.46,0.66,0.56,0.8,graph;partition;loop_and_branch
0.76,0.57,0.57,0.51,0.77,0.74,0.54,graph;tree;partition;simulate
0.65,0.51,0.96,0.75,0.72,0.49,0.79,graph;loop_and_branch
0.84,0.6,0.88,0.83,0.73,0.59,0.73,loop_and_branch
0.75,0.87,0.63,0.95,0.48,0.57,0.98,basic_knowledge;loop_and_branch
0.51,0.8,0.82,0.52,0.74,0.75,0.97,sorting;partition
0.84,0.51,0.52,0.77,0.66,0.68,0.89,graph;tree
0.87,0.45,0.61,0.71,0.53,0.83,0.65,graph;basic_knowledge
0.73,0.47,0.96,0.89,0.75,0.97,0.5,graph;simulate
0.82,0.57,0.54,0.8,0.9,0.58,0.46,graph;tree;loop_and_branch;simulate
0.52,0.93,0.69,0.6,0.93,0.87,0.54,sorting;simulate
0.64,0.9,0.75,0.92,0.48,0.64,0.47,basic_knowledge;simulate
0.64,0.83,0.55,0.82,0.47,0.82,0.65,tree;basic_knowledge
0.67,0.48,0.48,0.56,0.54,0.63,0.75,graph;tree;partition;basic_knowledge
0.93,0.8,0.82,0.92,0.74,0.98,0.75,
0.62,0.62,0.98,0.54,0.49,0.58,0.83,partition;basic_knowledge;loop_and_branch
0.77,0.76,0.63,0.68,0.75,0.45,0.68,loop_and_branch
0.45,0.58,0.54,0.93,0.54,0.69,0.86,sorting;graph;tree;basic_knowledge
0.58,0.96,0.96,0.45,0.48,0.9,0.49,sorting;partition;basic_knowledge;simulate
0.62,0.95,0.94,0.69,0.62,0.87,0.56,simulate
0.92,0.64,0.94,0.64,0.57,0.66,0.57,basic_knowledge;simulate
0.95,0.69,0.88,0.63,0.67,0.68,0.67,
0.71,0.65,0.94,0.72,0.5,0.81,0.61,basic_knowledge
0.72,0.8,0.59,0.53,0.99,0.79,0.77,tree;partition
0.72,0.95,0.5,0.71,0.97,0.88,0.7,tree
0.44,0.54,0.52,0.86,0.59,0.5,0.82,sorting;graph;tree;basic_knowledge;loop_and_branch
0.76,0.52,0.93,0.89,0.53,0.91,0.98,graph;basic_knowledge
0.48,0.6,0.51,0.96,0.73,0.86,0.67,sorting;tree
0.74,0.96,0.46,0.59,0.78,0.63,0.61,tree;partition
0.93,0.57,0.96,0.91,0.98,0.92,0.86,graph
0.49,0.86,0.48,0.88,0.67,0.92,0.79,sorting;tree
0.76,0.45,0.81,0.99,0.83,0.51,0.91,graph;loop_and_branch
0.46,0.61,0.57,0.92,0.53,0.89,0.47,sorting;tree;basic_knowledge;simulate
0.77,0.91,0.72,0.85,0.65,0.89,0.55,simulate
0.49,0.99,0.8,0.59,0.78,0.79,0.94,sorting;partition
0.55,0.64,0.76,0.76,0.9,0.67,0.82,sorting
0.73,0.49,0.88,0.5,0.45,0.88,0.55,graph;partition;basic_knowledge;simulate
0.74,0.81,0.97,0.44,0.55,0.56,0.46,partition;basic_knowledge;loop_and_branch;simulate
0.65,0.57,0.71,0.96,0.71,0.65,0.45,graph;simulate
0.56,0.67,0.87,0.72,0.63,0.8,0.71,sorting
0.5,0.78,0.48,0.64,0.86,0.7,0.52,sorting;tree;simulate
0.58,0.63,0.66,0.92,0.78,0.93,0.82,sorting
0.75,0.62,0.45,0.68,0.86,0.67,0.59,tree;simulate
0.84,0.91,0.74,0.85,0.92,0.7,0.66,
0.59,0.91,0.69,0.59,0.46,0.9,0.82,sorting;partition;basic_knowledge
0.56,0.73,0.76,0.76,0.54,0.69,0.43,sorting;basic_knowledge;simulate
0.8,0.98,0.5,0.74,0.72,0.76,0.71,tree
0.83,0.66,0.79,0.71,0.47,0.46,0.78,basic_knowledge;loop_and_branch
0.87,0.65,0.94,0.5,0.49,0.71,0.76,partition;basic_knowledge
0.51,0.75,0.57,0.9,0.53,0.84,0.93,sorting;tree;basic_knowledge
0.64,0.68,0.67,0.9,0.81,0.68,0.48,simulate
0.76,0.72,0.81,0.82,0.77,0.9,0.78,
0.85,0.61,0.84,0.49,0.56,0.54,0.77,partition;basic_knowledge;loop_and_branch
0.78,0.82,0.44,0.74,0.64,0.53,0.55,tree;loop_and_branch;simulate
0.54,0.59,0.52,0.57,0.45,0.49,0.97,sorting;graph;tree;partition;basic_knowledge;loop_and_branch
0.71,0.97,0.89,0.6,0.95,0.93,0.87,
0.82,0.9,0.5,0.89,0.83,0.83,0.83,tree
0.44,0.48,0.68,0.69,0.45,0.97,0.58,sorting;graph;basic_knowledge;simulate
0.85,0.95,0.44,0.77,0.49,0.43,0.9,tree;basic_knowledge;loop_and_branch
0.71,0.49,0.8,0.93,0.59,0.68,0.72,graph;basic_knowledge
0.59,0.95,0.93,0.46,0.61,0.77,0.55,sorting;partition;simulate
0.71,0.94,0.46,0.87,0.67,0.97,0.63,tree
0.44,0.98,0.92,0.8,0.72,0.44,0.8,sorting;loop_and_branch
0.77,0.92,0.67,0.52,0.65,0.84,0.74,partition
0.5,0.75,0.8,0.59,0.75,0.93,0.5,sorting;partition;simulate
0.49,0.8,0.97,0.83,0.73,0.59,0.87,sorting;loop_and_branch
0.65,0.66,0.8,0.56,0.78,0.94,0.7,partition
0.66,0.67,0.9,0.45,0.98,0.51,0.76,partition;loop_and_branch
0.76,0.91,0.71,0.83,0.56,0.87,0.72,basic_knowledge
0.73,0.67,0.43,0.46,0.58,0.87,0.8,tree;partition;basic_knowledge
0.71,0.47,0.81,0.48,0.95,0.62,0.83,graph;partition
0.72,0.95,0.58,0.73,0.86,0.45,0.57,tree;loop_and_branch;simulate
0.51,0.47,0.43,0.69,0.73,0.53,0.71,sorting;graph;tree;loop_and_branch
0.7,0.88,0.56,0.67,0.61,0.49,0.81,tree;loop_and_branch
0.5,0.64,0.62,0.81,0.79,0.44,0.57,sorting;loop_and_branch;simulate
0.71,0.61,0.6,0.61,0.88,0.96,0.82,
0.82,0.92,0.87,0.58,0.43,0.64,0.55,partition;basic_knowledge;simulate
0.6,0.98,0.45,0.65,0.48,0.58,0.79,tree;basic_knowledge;loop_and_branch
0.57,0.47,0.46,0.44,0.46,0.43,0.91,sorting;graph;tree;partition;basic_knowledge;loop_and_branch
0.45,0.66,0.84,0.55,0.56,0.89,0.78,sorting;partition;basic_knowledge
0.47,0.9,0.77,0.57,0.94,0.6,0.53,sorting;partition;simulate
0.73,0.63,0.88,0.53,0.76,0.65,0.66,partition
0.84,0.52,0.51,0.95,0.56,0.76,0.99,graph;tree;basic_knowledge
0.63,0.6,0.85,0.94,0.44,0.72,0.59,basic_knowledge;simulate
0.64,0.75,0.61,0.51,0.53,0.56,0.67,partition;basic_knowledge;loop_and_branch
0.99,0.98,0.83,0.68,0.61,0.73,0.99,
0.83,0.94,0.87,0.83,0.8,0.61,0.57,simulate
0.47,0.47,0.65,0.78,0.8,0.92,0.8,sorting;graph
0.96,0.67,0.64,0.63,0.72,0.93,0.94,
0.53,0.86,0.7,0.54,0.58,0.65,0.49,sorting;partition;basic_knowledge;simulate
0.55,0.67,0.58,0.82,0.73,0.9,0.79,sorting;tree
0.75,0.57,0.77,0.6,0.62,0.51,0.79,graph;loop_and_branch
0.55,0.94,0.49,0.51,0.6,0.49,0.5,sorting;tree;partition;loop_and_branch;simulate
0.93,0.77,0.7,0.51,0.49,0.52,0.77,partition;basic_knowledge;loop_and_branch
0.52,0.63,0.67,0.69,0.58,0.98,0.44,sorting;basic_knowledge;simulate
0.46,0.93,0.84,0.74,0.89,0.62,0.69,sorting
0.81,0.5,0.57,0.81,0.8,0.77,0.51,graph;tree;simulate
0.87,0.47,0.91,0.9,0.89,0.82,0.73,graph
0.72,0.73,0.77,0.72,0.48,0.71,0.58,basic_knowledge;simulate
0.74,0.84,0.55,0.75,0.5,0.96,0.65,tree;basic_knowledge
0.64,0.93,0.86,0.92,0.82,0.79,0.85,
0.55,0.62,0.55,0.71,0.81,0.83,0.92,sorting;tree
0.66,0.64,0.75,0.93,0.73,0.5,0.92,loop_and_branch
0.91,0.56,0.58,0.48,0.68,0.9,0.69,graph;tree;partition
0.64,0.79,0.6,0.82,0.59,0.87,0.69,basic_knowledge
0.77,0.87,0.93,0.75,0.69,0.6,0.47,simulate
0.64,0.57,0.69,0.76,0.82,0.73,0.72,graph
0.86,0.76,0.89,0.96,0.79,0.95,0.85,
0.88,0.83,0.56,0.68,0.85,0.82,0.7,tree
0.53,0.49,0.66,0.67,0.47,0.68,0.5,sorting;graph;basic_knowledge;simulate
0.6,0.91,0.83,0.9,0.46,0.88,0.96,basic_knowledge
0.84,0.85,0.85,0.93,0.97,0.7,0.75,
0.61,0.89,0.51,0.49,0.81,0.44,0.85,tree;partition;loop_and_branch
0.44,0.78,0.73,0.49,0.98,0.66,0.46,sorting;partition;simulate
0.56,0.79,0.52,0.77,0.79,0.81,0.98,sorting;tree
0.44,0.81,0.69,0.85,0.47,0.55,0.43,sorting;basic_knowledge;loop_and_branch;simulate
0.55,0.49,0.63,0.58,0.45,0.69,0.47,sorting;graph;partition;basic_knowledge;simulate
0.86,0.46,0.48,0.67,0.57,0.56,0.89,graph;tree;basic_knowledge;loop_and_branch
0.79,0.71,0.97,0.69,0.91,0.53,0.9,loop_and_branch
0.96,0.79,0.45,0.63,0.84,0.82,0.8,tree
0.77,0.91,0.71,0.99,0.97,0.46,0.71,loop_and_branch
0.95,0.51,0.66,0.45,0.61,0.58,0.58,graph;partition;loop_and_branch;simulate
0.98,0.75,0.94,0.91,0.93,0.6,0.83,
0.97,0.64,0.79,0.68,0.89,0.52,0.81,loop_and_branch
0.85,0.69,0.92,0.92,0.45,0.63,0.76,basic_knowledge
0.88,0.88,0.83,0.84,0.97,0.61,0.95,
0.52,0.88,0.95,0.77,0.76,0.55,0.71,sorting;loop_and_branch
0.84,0.46,0.99,0.69,0.68,0.98,0.57,graph;simulate
0.49,0.86,0.7,0.7,0.59,0.46,0.98,sorting;basic_knowledge;loop_and_branch
0.92,0.46,0.66,0.77,0.5,0.52,0.5,graph;basic_knowledge;loop_and_branch;simulate
0.67,0.84,0.92,0.82,0.45,0.86,0.63,basic_knowledge
0.71,0.84,0.9,0.56,0.97,0.51,0.69,partition;loop_and_branch
0.97,0.62,0.86,0.44,0.97,0.71,0.66,partition
0.6,0.55,0.73,0.47,0.73,0.59,0.57,graph;partition;loop_and_branch;simulate
0.44,0.96,0.54,0.91,0.79,0.79,0.43,sorting;tree;simulate
0.58,0.62,0.86,0.71,0.54,0.97,0.95,sorting;basic_knowledge
0.69,0.86,0.96,0.68,0.82,0.46,0.7,loop_and_branch
0.6,0.77,0.69,0.57,0.95,0.75,0.6,partition
0.7,0.59,0.7,0.51,0.81,0.55,0.46,graph;partition;loop_and_branch;simulate
0.55,0.96,0.98,0.53,0.97,0.93,0.74,sorting;partition
0.6,0.83,0.57,0.64,0.56,0.44,0.56,tree;basic_knowledge;loop_and_branch;simulate
0.74,0.61,0.83,0.61,0.94,0.86,0.6,
0.44,0.67,0.44,0.58,0.87,0.72,0.71,sorting;tree;partition
0.74,0.85,0.51,0.68,0.62,0.63,0.53,tree;simulate
0.76,0.87,0.92,0.72,0.67,0.53,0.9,loop_and_branch
0.69,0.43,0.54,0.91,0.75,0.89,0.97,graph;tree
0.87,0.78,0.91,0.93,0.93,0.78,0.89,
0.52,0.69,0.68,0.84,0.61,0.63,0.69,sorting
0.85,0.45,0.58,0.52,0.99,0.7,0.84,graph;tree;partition
0.81,0.88,0.86,0.59,0.79,0.75,0.59,partition;simulate
0.85,0.71,0.53,0.76,0.44,0.88,0.66,tree;basic_knowledge
0.55,0.69,0.53,0.9,0.59,0.73,0.85,sorting;tree;basic_knowledge
0.64,0.95,0.55,0.99,0.78,0.87,0.96,tree
0.65,0.51,0.57,0.58,0.86,0.79,0.95,graph;tree;partition
0.94,0.52,0.67,0.96,0.74,0.47,0.9,graph;loop_and_branch
0.45,0.62,0.95,0.64,0.94,0.48,0.9,sorting;loop_and_branch
0.85,0.56,0.64,0.86,0.76,0.6,0.99,graph
0.48,0.59,0.88,0.79,0.78,0.67,0.92,sorting;graph
0.83,0.89,0.58,0.66,0.45,0.64,0.82,tree;basic_knowledge
0.86,0.69,0.44,0.52,0.78,0.89,0.51,tree;partition;simulate
0.47,0.77,0.78,0.79,0.63,0.89,0.78,sorting
0.67,0.91,0.45,0.44,0.53,0.55,0.89,tree;partition;basic_knowledge;loop_and_branch
0.74,0.54,0.74,0.64,0.5,0.95,0.84,graph;basic_knowledge
0.88,0.58,0.47,0.85,0.78,0.84,0.46,graph;tree;simulate
0.93,0.97,0.88,0.75,0.53,0.79,0.55,basic_knowledge;simulate
0.8,0.54,0.84,0.96,0.43,0.83,0.58,graph;basic_knowledge;simulate
0.67,0.48,0.46,0.55,0.93,0.61,0.73,graph;tree;partition
0.7,0.98,0.69,0.6,0.48,0.55,0.54,basic_knowledge;loop_and_branch;simulate
0.67,0.51,0.91,0.48,0.72,0.74,0.45,graph;partition;simulate
0.64,0.58,0.75,0.53,0.61,0.5,0.69,graph;partition;loop_and_branch
0.89,0.97,0.62,0.95,0.95,0.9,0.73,
0.82,0.53,0.92,0.91,0.65,0.81,0.85,graph
0.56,0.62,0.53,0.48,0.88,0.5,0.75,sorting;tree;partition;loop_and_branch
0.68,0.98,0.7,0.57,0.5,0.57,0.97,partition;basic_knowledge;loop_and_branch
0.71,0.57,0.47,0.92,0.96,0.78,0.53,graph;tree;simulate
0.91,0.74,0.91,0.63,0.84,0.94,0.51,simulate
0.45,0.61,0.44,0.84,0.64,0.62,0.65,sorting;tree
0.97,0.83,0.44,0.69,0.92,0.51,0.6,tree;loop_and_branch
0.49,0.85,0.63,0.94,0.6,0.63,0.92,sorting
0.87,0.55,0.48,0.97,0.9,0.59,0.87,graph;tree;loop_and_branch
0.79,0.51,0.58,0.83,0.69,0.67,0.98,graph;tree
0.74,0.95,0.81,0.8,0.95,0.85,0.53,simulate
0.55,0.72,0.69,0.45,0.98,0.59,0.54,sorting;partition;loop_and_branch;simulate
0.7,0.85,0.66,0.72,0.46,0.47,0.62,basic_knowledge;loop_and_branch
0.81,0.61,0.55,0.6,0.89,0.96,0.65,tree
0.55,0.81,0.89,0.95,0.5,0.98,0.66,sorting;basic_knowledge
0.89,0.55,0.91,0.46,0.95,0.64,0.45,graph;partition;simulate
0.85,0.85,0.77,0.77,0.74,0.47,0.68,loop_and_branch
0.98,0.88,0.92,0.91,0.62,0.62,0.6,
0.44,0.6,0.45,0.92,0.95,0.66,0.78,sorting;tree
0.47,0.81,0.89,0.93,0.52,0.9,0.8,sorting;basic_knowledge
0.66,0.74,0.43,0.45,0.9,0.95,0.66,tree;partition
0.5,0.81,0.64,0.87,0.69,0.54,0.67,sorting;loop_and_branch
0.51,0.77,0.72,0.62,0.93,0.61,0.72,sorting
0.52,0.89,0.61,0.53,0.81,0.56,0.46,sorting;partition;loop_and_branch;simulate
0.59,0.96,0.53,0.79,0.66,0.46,0.84,sorting;tree;loop_and_branch
0.45,0.67,0.56,0.98,0.46,0.97,0.73,sorting;tree;basic_knowledge
0.72,0.88,0.85,0.87,0.87,0.47,0.55,loop_and_branch;simulate
0.63,0.64,0.76,0.96,0.82,0.84,0.78,
0.72,0.71,0.97,0.94,0.79,0.99,0.57,simulate
0.54,0.76,0.94,0.73,0.56,0.88,0.47,sorting;basic_knowledge;simulate
0.97,0.77,0.85,0.78,0.75,0.56,0.9,loop_and_branch
0.95,0.75,0.74,0.59,0.91,0.7,0.5,partition;simulate
0.83,0.97,0.6,0.72,0.63,0.59,0.94,loop_and_branch
0.46,0.83,0.95,0.75,0.99,0.49,0.5,sorting;loop_and_branch;simulate
0.91,0.76,0.7,0.74,0.99,0.75,0.95,
0.68,0.71,0.89,0.84,0.98,0.64,0.96,
0.57,0.89,0.6,0.66,0.71,0.9,0.69,sorting
0.88,0.57,0.83,0.89,0.69,0.63,0.95,graph
0.64,0.65,0.82,0.94,0.7,0.65,0.75,
0.95,0.94,0.76,0.78,0.82,0.45,0.92,loop_and_branch
0.81,0.92,0.57,0.9,0.55,0.97,0.94,tree;basic_knowledge
0.7,0.84,0.67,0.5,0.57,0.46,0.47,partition;basic_knowledge;loop_and_branch;simulate
0.7,0.74,0.78,0.9,0.67,0.92,0.88,
0.99,0.85,0.74,0.48,0.99,0.95,0.73,partition
0.56,0.47,0.57,0.8,0.9,0.75,0.77,sorting;graph;tree
0.96,0.86,0.61,0.9,0.8,0.67,0.61,
0.69,0.6,0.59,0.97,0.78,0.54,0.82,tree;loop_and_branch
0.73,0.66,0.8,0.44,0.53,0.49,0.83,partition;basic_knowledge;loop_and_branch
0.86,0.47,0.82,0.72,0.83,0.78,0.66,graph
0.83,0.76,0.72,0.79,0.84,0.54,0.72,loop_and_branch
0.54,0.81,0.68,0.74,0.74,0.63,0.6,sorting
0.71,0.51,0.84,0.48,0.85,0.66,0.72,graph;partition
0.77,0.97,0.62,0.86,0.78,0.45,0.91,loop_and_branch
0.74,0.86,0.79,0.75,0.53,0.53,0.48,basic_knowledge;loop_and_branch;simulate
0.74,0.97,0.71,0.63,0.68,0.47,0.89,loop_and_branch
0.71,0.73,0.95,0.85,0.67,0.46,0.52,loop_and_branch;simulate
0.75,0.59,0.74,0.96,0.71,0.65,0.86,graph
0.66,0.74,0.57,0.76,0.78,0.73,0.5,tree;simulate
0.9,0.46,0.64,0.58,0.65,0.62,0.74,graph;partition
0.63,0.54,0.53,0.78,0.72,0.49,0.98,graph;tree;loop_and_branch
0.59,0.68,0.54,0.56,0.98,0.66,0.63,sorting;tree;partition
0.82,0.56,0.76,0.74,0.77,0.77,0.85,graph
0.63,0.8,0.51,0.9,0.79,0.83,0.77,tree
0.67,0.44,0.55,0.84,0.61,0.5,0.83,graph;tree;loop_and_branch
0.49,0.67,0.58,0.54,0.83,0.43,0.97,sorting;tree;partition;loop_and_branch
0.56,0.48,0.63,0.94,0.9,0.54,0.52,sorting;graph;loop_and_branch;simulate
0.86,0.76,0.78,0.82,0.97,0.87,0.55,simulate
0.47,0.6,0.95,0.78,0.85,0.56,0.69,sorting;loop_and_branch
0.75,0.98,0.68,0.83,0.82,0.72,0.82,
0.7,0.93,0.95,0.91,0.99,0.56,0.46,loop_and_branch;simulate
0.46,0.73,0.55,0.77,0.8,0.95,0.9,sorting;tree
0.6,0.43,0.53,0.59,0.59,0.72,0.44,graph;tree;partition;basic_knowledge;simulate
